Timestamp	ID	Payload	Payload Length	Type	Name
11.809148	7E8	20  24  00  00  00  00  00  04	8	S	
11.821643	7E8	21  35  CD  24  00  00  00  00	8	S	
11.834305	7E8	22  00  04  35  CE  24  00  00	8	S	
11.846492	7E8	23  00  00  00  04  35  CF  24	8	S	
11.859139	7E8	24  00  00  00  00  00  04  35	8	S	
11.871732	7E8	25  D0  24  00  00  00  00  00	8	S	
11.884261	7E8	26  04  35  D1  24  00  00  00	8	S	
11.896540	7E8	27  00  00  04  35  D2  24  00	8	S	
11.909144	7E8	28  00  00  00  00  01  35  D3	8	S	
11.921628	7E8	29  24  00  00  00  00  00  01	8	S	
11.934352	7E8	2A  35  D4  24  00  00  00  00	8	S	
11.946507	7E8	2B  00  01  35  D5  24  00  00	8	S	
11.959120	7E8	2C  00  00  00  01  35  D6  24	8	S	
11.971774	7E8	2D  00  00  00  00  00  01  35	8	S	
11.984280	7E8	2E  D7  24  00  00  00  00  00	8	S	
11.996532	7E8	2F  01  35  D8  24  00  00  00	8	S	
12.009147	7E8	20  00  00  01  35  D9  24  00	8	S	
12.021626	7E8	21  00  00  00  00  01  35  DA	8	S	
12.034348	7E8	22  24  00  00  00  00  00  03	8	S	
12.046502	7E8	23  35  DB  24  00  00  00  00	8	S	
12.059160	7E8	24  00  03  35  DC  24  00  00	8	S	
12.071733	7E8	25  00  00  00  04  35  DD  24	8	S	
12.084231	7E8	26  00  00  00  00  00  04  35	8	S	
12.096593	7E8	27  DE  24  00  00  00  00  00	8	S	
12.109150	7E8	28  04  35  DF  24  00  00  00	8	S	
12.121659	7E8	29  00  00  04  35  E0  24  00	8	S	
12.134312	7E8	2A  00  00  00  00  04  35  E1	8	S	
12.146539	7E8	2B  24  00  00  00  00  00  04	8	S	
12.159132	7E8	2C  35  E6  24  00  00  00  00	8	S	
12.171727	7E8	2D  00  03  35  E7  24  00  00	8	S	
12.184290	7E8	2E  00  00  00  03  AA  AA  AA	8	S	
12.185402	7E0	02  06  38  FF  FF  FF  FF  FF	8	S	
13.205204	7E0	02  06  58  FF  FF  FF  FF  FF	8	S	
14.225313	7E0	02  06  78  FF  FF  FF  FF  FF	8	S	
15.246439	7E0	02  06  98  FF  FF  FF  FF  FF	8	S	
16.267577	7E0	02  06  AA  FF  FF  FF  FF  FF	8	S	

---------------------服务01（显示目前动力资料），00询问支持的PID---
27.569514	7DF	02  01  00  FF  FF  FF  FF  FF	8	S	
27.572012	7E8	06  41  00  BE  5F  A8  13  AA	8	S
	
27.572817	7DF	02  01  20  FF  FF  FF  FF  FF	8	S	
27.576119	7ED	06  41  00  80  00  00  01  AA	8	S	
27.576777	7EA	06  41  20  00  00  00  01  AA	8	S	
27.578076	7E8	06  41  20  A0  07  F0  11  AA	8	S
	
27.579290	7DF	02  01  40  FF  FF  FF  FF  FF	8	S	
27.581440	7ED	06  41  40  40  00  00  00  AA	8	S	
27.583133	7EA	06  41  40  40  00  00  00  AA	8	S	
27.584549	7E8	06  41  40  FE  D0  80  11  AA	8	S
	
27.588982	7DF	02  01  60  FF  FF  FF  FF  FF	8	S	
27.597097	7E8	06  41  60  E3  08  01  41  AA	8	S	
27.598454	7DF	02  01  80  FF  FF  FF  FF  FF	8	S	
27.603218	7E8	06  41  80  02  20  00  09  AA	8	S
	
27.604576	7DF	02  01  A0  FF  FF  FF  FF  FF	8	S	
27.609452	7E8	06  41  A0  14  00  00  00  AA	8	S

---------------------服务02（请求冻结帧数据），00询问支持的PID---	
27.610559	7DF	03  02  00  00  FF  FF  FF  FF	8	S	
27.616199	7E8	07  42  00  00  7E  5F  88  03	8	S
	
27.617012	7DF	03  02  20  00  FF  FF  FF  FF	8	S	
27.621934	7E8	07  42  20  00  20  07  F0  11	8	S
	
27.622890	7DF	03  02  40  00  FF  FF  FF  FF	8	S	
27.628323	7E8	07  42  40  00  7E  D0  80  11	8	S
	
27.629010	7DF	03  02  60  00  FF  FF  FF  FF	8	S	
27.634614	7E8	07  42  60  00  E3  08  01  41	8	S
	
27.637120	7DF	03  02  80  00  FF  FF  FF  FF	8	S	
27.640666	7E8	07  42  80  00  02  20  00  09	8	S
	
27.642448	7DF	03  02  A0  00  FF  FF  FF  FF	8	S	
27.646869	7E8	07  42  A0  00  14  00  00  00	8	S
	
27.648546	7DF	03  02  02  00  FF  FF  FF  FF	8	S	
27.653279	7E8	05  42  02  00  00  00  AA  AA	8	S
---------------------服务03（请求排放相关的故障码）---	
27.654627	7DF	01  03  FF  FF  FF  FF  FF  FF	8	S	
27.656579	7ED	02  43  00  AA  AA  AA  AA  AA	8	S	
27.658159	7EA	02  43  00  AA  AA  AA  AA  AA	8	S	
27.660244	7E8	02  43  00  AA  AA  AA  AA  AA	8	S
	
27.663926	7DF	01  07  FF  FF  FF  FF  FF  FF	8	S	
27.667915	7E8	02  47  00  AA  AA  AA  AA  AA	8	S	
27.668206	7ED	02  47  00  AA  AA  AA  AA  AA	8	S
27.672027	7EA	02  47  00  AA  AA  AA  AA  AA	8	S
	
27.670483	7DF	01  0A  FF  FF  FF  FF  FF  FF	8	S		
27.676128	7ED	02  4A  00  AA  AA  AA  AA  AA	8	S	
27.676989	7EA	02  4A  00  AA  AA  AA  AA  AA	8	S	
27.678117	7E8	02  4A  00  AA  AA  AA  AA  AA	8	S
	
27.679532	7DF	02  09  00  FF  FF  FF  FF  FF	8	S	
27.681446	7ED	06  49  00  14  40  00  00  AA	8	S	
27.683182	7EA	06  49  00  14  40  00  00  AA	8	S	
27.684580	7E8	06  49  00  55  40  10  00  AA	8	S
---------------------服务09（请求请求整车信息），02读取VIN---------------连续帧需要切换tool ID	
27.685616	7DF	02  09  02  FF  FF  FF  FF  FF	8	S	
27.696844	7E8	10  14  49  02  01  4C  53  47	8	S	
27.697555	7DF	30  00  05  FF  FF  FF  FF  FF	8	S
---------------------服务01（显示目前动力资料），轮询---	
27.968755	7DF	02  01  1C  FF  FF  FF  FF  FF	8	S	
27.972000	7E8	03  41  1C  29  AA  AA  AA  AA	8	S	
27.972979	7DF	02  01  0C  FF  FF  FF  FF  FF	8	S	
27.978131	7E8	04  41  0C  00  00  AA  AA  AA	8	S	
27.980497	7DF	02  01  47  FF  FF  FF  FF  FF	8	S	
27.984547	7E8	03  41  47  71  AA  AA  AA  AA	8	S	
27.986552	7DF	02  01  10  FF  FF  FF  FF  FF	8	S	
27.996856	7E8	04  41  10  00  00  AA  AA  AA	8	S	
27.998637	7DF	02  01  0D  FF  FF  FF  FF  FF	8	S	
28.003215	7E8	03  41  0D  00  AA  AA  AA  AA	8	S	
28.005558	7DF	02  01  0E  FF  FF  FF  FF  FF	8	S	
28.009497	7E8	03  41  0E  80  AA  AA  AA  AA	8	S	
28.011980	7DF	02  01  0F  FF  FF  FF  FF  FF	8	S	
28.015712	7E8	03  41  0F  00  AA  AA  AA  AA	8	S	
28.017018	7DF	02  01  05  FF  FF  FF  FF  FF	8	S	
28.022126	7E8	03  41  05  53  AA  AA  AA  AA	8	S	
28.024205	7DF	02  01  04  FF  FF  FF  FF  FF	8	S	
28.028278	7E8	03  41  04  00  AA  AA  AA  AA	8	S	
28.030131	7DF	02  01  1F  FF  FF  FF  FF  FF	8	S	
28.034670	7E8	04  41  1F  00  00  AA  AA  AA	8	S	
28.036602	7DF	02  06  00  FF  FF  FF  FF  FF	8	S	
28.040677	7E8	06  46  00  C0  00  00  01  AA	8	S	
28.041911	7DF	02  06  20  FF  FF  FF  FF  FF	8	S	
28.046879	7E8	06  46  20  80  00  08  59  AA	8	S	
28.047861	7DF	02  06  40  FF  FF  FF  FF  FF	8	S	
28.053299	7E8	06  46  40  C0  00  00  01  AA	8	S	
28.054892	7DF	02  06  60  FF  FF  FF  FF  FF	8	S	
28.059461	7E8	06  46  60  00  00  00  01  AA	8	S	
28.061131	7DF	02  06  80  FF  FF  FF  FF  FF	8	S	
28.067606	7E8	06  46  80  00  00  00  01  AA	8	S	
28.070529	7DF	02  06  A0  FF  FF  FF  FF  FF	8	S	
28.072120	7E8	06  46  A0  78  00  40  00  AA	8	S	
28.072658	7DF	02  06  C0  FF  FF  FF  FF  FF	8	S	
29.093564	7DF	02  06  18  FF  FF  FF  FF  FF	8	S	
30.116227	7DF	02  06  2D  FF  FF  FF  FF  FF	8	S	
31.139449	7DF	02  06  32  FF  FF  FF  FF  FF	8	S	
32.158511	7DF	02  06  34  FF  FF  FF  FF  FF	8	S	
33.179360	7DF	02  06  35  FF  FF  FF  FF  FF	8	S	
33.184668	7E8	11  45  46  35  B0  24  00  00	8	S	
33.186571	7DF	30  00  05  FF  FF  FF  FF  FF	8	S	
33.456897	7DF	02  06  38  FF  FF  FF  FF  FF	8	S	
34.476738	7DF	02  06  58  FF  FF  FF  FF  FF	8	S	
35.497395	7DF	02  06  78  FF  FF  FF  FF  FF	8	S	
36.518222	7DF	02  06  98  FF  FF  FF  FF  FF	8	S	
37.539595	7DF	02  06  AA  FF  FF  FF  FF  FF	8	S	
